---------------------------------------------------------------
Spectrum  |     Observed     |  Rel. |    Aki     | Acc. |Type|
          |    Wavelength    |  Int. |   (s^-1)   |      |    |
          |     Air (nm)     |       |            |      |    |
---------------------------------------------------------------
          |                  |       |            |      |    |
O II      |        400.7462  |     7 |            |      |    |
O II      |        402.3858  |     5 |            |      |    |
O II      |        402.6312  |     5 |            |      |    |
O II      |        403.2248  |     7 |            |      |    |
O II      |        403.2483  |     5 |            |      |    |
          |                  |       |            |      |    |
O II      |        403.3155  |     8 |            |      |    |
O II      |        403.5068  |     9 |            |      |    |
O II      |        403.5461  |   6bl |            |      |    |
O II      |        404.1289  |     9 |            |      |    |
O II      |        404.1951  |     7 |            |      |    |
          |                  |       |            |      |    |
O II      |        404.4942  |     8 |            |      |    |
O II      |        404.6113  |     7 |            |      |    |
O II      |        404.7799  |     6 |            |      |    |
O II      |        404.8214  |    11 |            |      |    |
O II      |        405.4081  |    9* |            |      |    |
          |                  |       |            |      |    |
O II      |        405.4081  |    9* |            |      |    |
O II      |        405.4081  |    9* |            |      |    |
O II      |        405.4528  |    8* |            |      |    |
O II      |        405.4528  |    8* |            |      |    |
O II      |        406.0599  |   13* |            |      |    |
          |                  |       |            |      |    |
O II      |        406.0599  |   13* |            |      |    |
O II      |        406.1028  |    12 |            |      |    |
O II      |        406.2936  |    14 |            |      |    |
O II      |        406.5044  |     7 |            |      |    |
O II      |        406.9623  |    20 | 1.42e+08   | B+   |    |
          |                  |       |            |      |    |
O II      |        406.9886  |    21 | 1.48e+08   | B+   |    |
O II      |        407.1233  |    14 |            |      |    |
O II      |        407.2157  |    23 | 1.79e+08   | B+   |    |
O II      |        407.5862  |    24 | 1.98e+08   | B+   |    |
O II      |        407.7715  |     6 |            |      |    |
          |                  |       |            |      |    |
O II      |        407.8842  |    17 | 5.21e+07   | B+   |    |
O II      |        408.3895  |    15 |            |      |    |
O II      |        408.4652  |    13 | 7.28e+06   | C    |    |
O II      |        408.51125 |    19 | 4.31e+07   | B+   |    |
O II      |        408.7152  |    15 |            |      |    |
          |                  |       |            |      |    |
O II      |        408.8268  |     9 |            |      |    |
O II      |        408.9288  |    19 |            |      |    |
O II      |        409.29289 |    17 | 2.45e+07   | B+   |    |
O II      |        409.4140  |    11 | 3.85e+06   | C+   |    |
O II      |        409.5644  |    15 |            |      |    |
          |                  |       |            |      |    |
O II      |        409.6188  |    11 |            |      |    |
O II      |        409.6525  |    15 | 1.73e+07   | C    |    |
O II      |        409.6929  |     9 |            |      |    |
O II      |        409.7258  |   17* | 3.79e+07   | C+   |    |
O II      |        409.7258  |   17* |            |      |    |
          |                  |       |            |      |    |
O II      |        409.8243  |    14 |            |      |    |
O II      |        410.3001  |    14 | 5.32e+07   | C+   |    |
O II      |        410.47231 |    16 | 3.29e+07   | C+   |    |
O II      |        410.4993  |    18 | 9.55e+07   | C+   |    |
O II      |        410.6019  |     9 | 1.51e+06   | B+   |    |
          |                  |       |            |      |    |
O II      |        410.7091  |    13 |            |      |    |
O II      |        410.7333  |     6 |            |      |    |
O II      |        410.8753  |     9 |            |      |    |
O II      |        410.9287  |     6 |            |      |    |
O II      |        410.9839  |     6 | 1.21e+06   | D    |    |
          |                  |       |            |      |    |
O II      |        411.0198  |    10 | 2.54e+07   | D    |    |
O II      |        411.07858 |    15 | 8.05e+07   | C+   |    |
O II      |        411.2022  |    15 | 1.81e+07   | C    |    |
O II      |        411.3835  |    12 | 2.41e+07   | D    |    |
O II      |        411.4502  |     8 |            |      |    |
          |                  |       |            |      |    |
O II      |        411.9215  |    22 | 1.39e+08   | C+   |    |
O II      |        412.0280  |    17 | 2.25e+07   | C+   |    |
O II      |        412.0544  |    14 | 2.95e+07   | C    |    |
O II      |        412.14619 |    14 | 5.60e+07   | C    |    |
O V       |        412.399   |   100 | 4.81e+07   | B    |    |
          |                  |       |            |      |    |
O II      |        412.9321  |    11 | 1.65e+07   | B    |    |
O II      |        413.28004 |    17 | 8.40e+07   | B    |    |
O II      |        414.0703  |     8 | 3.76e+06   | B    |    |
O II      |        414.1933  |    12 |            |      |    |
O II      |        414.2065  |    12 |            |      |    |
          |                  |       |            |      |    |
O II      |        414.2268  |    10 |            |      |    |
O II      |        414.3324  |     9 |            |      |    |
O II      |        414.3516  |    12 |            |      |    |
O II      |        414.3736  |    12 |            |      |    |
O II      |        414.5699  |     6 |            |      |    |
          |                  |       |            |      |    |
O II      |        414.5907  |    10 |            |      |    |
O II      |        414.6076  |    13 |            |      |    |
O II      |        415.32980 |    18 | 7.28e+07   | B    |    |
O II      |        415.6530  |    13 | 1.94e+07   | B    |    |
O II      |        416.9225  |    15 | 2.49e+07   | B    |    |
          |                  |       |            |      |    |
O II      |        418.5449  |    19 | 1.91e+08   | D    |    |
O II      |        418.9789  |    20 | 1.98e+08   | D    |    |
O II      |        419.2518  |    12 | 3.21e+07   | D    |    |
O II      |        419.6260  |     6 | 3.56e+06   | D    |    |
O II      |        419.6701  |    10 | 3.56e+07   | D    |    |
          |                  |       |            |      |    |
O II      |        422.1703  |     7 |            |      |    |
O II      |        422.4796  |     6 |            |      |    |
O I       |        423.327   |    80 | 4.04e+05   | C+   |    |
O II      |        423.7930  |     9 |            |      |    |
O II      |        424.5519  |     6 |            |      |    |
          |                  |       |            |      |    |
O II      |        425.3895  |    15 |            |      |    |
O II      |        425.4121  |    15 |            |      |    |
O II      |        425.7549  |     9 |            |      |    |
O II      |        427.3104  |    11 |            |      |    |
O II      |        427.4240  |    10 |            |      |    |
          |                  |       |            |      |    |
O II      |        427.5551  |    16 |            |      |    |
O II      |        427.5994  |    11 |            |      |    |
O II      |        427.6281  |    11 |            |      |    |
O II      |        427.6748  |    15 |            |      |    |
O II      |        427.7427  |   14* |            |      |    |
          |                  |       |            |      |    |
O II      |        427.7427  |   14* |            |      |    |
O II      |        427.7706  |     6 | 6.93e+06   | D    |    |
O II      |        427.7892  |    12 |            |      |    |
O II      |        427.9156  |     7 | 5.77e+06   | D    |    |
O II      |        428.1318  |    11 |            |      |    |
          |                  |       |            |      |    |
O II      |        428.2964  |    14 |            |      |    |
O II      |        428.3249  |     9 |            |      |    |
O II      |        428.3727  |    12 |            |      |    |
O II      |        428.4002  |     6 |            |      |    |
O II      |        428.4393  |     7 |            |      |    |
          |                  |       |            |      |    |
O II      |        428.5687  |    15 |            |      |    |
O II      |        428.7734  |     5 | 1.15e+06   | D    |    |
O II      |        428.8820  |   13* |            |      |    |
O II      |        428.8820  |   13* |            |      |    |
O II      |        429.1254  |    14 |            |      |    |
          |                  |       |            |      |    |
O II      |        429.1857  |     7 |            |      |    |
O II      |        429.2211  |    13 |            |      |    |
O II      |        429.2954  |     2 |            |      |    |
O II      |        429.4781  |    15 |            |      |    |
O II      |        430.2858  |    9* |            |      |    |
          |                  |       |            |      |    |
O II      |        430.2858  |    9* |            |      |    |
O II      |        430.3070  |     8 |            |      |    |
O II      |        430.3609  |    11 |            |      |    |
O II      |        430.3825  |    15 |            |      |    |
O II      |        430.5390  |    10 |            |      |    |
          |                  |       |            |      |    |
O II      |        430.5965  |    4* |            |      |    |
O II      |        430.5965  |    4* |            |      |    |
O II      |        430.6354  |     5 |            |      |    |
O II      |        430.7233  |    12 |            |      |    |
O II      |        430.8999  |   11* |            |      |    |
          |                  |       |            |      |    |
O II      |        430.8999  |   11* |            |      |    |
