det_index,det_wavelength_nm,det_intensity,input_index,input_wavelength_nm,input_intensity,delta_nm
499,442.64957264957263,84.00885293357894,308,442.62320999999974,123.448,0.026362649572888586
512,443.7606837606838,96.19781175472264,307,443.74946999999975,131.83,0.01121376068402924
525,444.87179487179486,102.65505999766879,306,444.87572999999975,136.789,-0.003935128204886951
538,445.982905982906,106.50999766139289,305,446.00198999999975,141.615,-0.019084017093746297
551,447.0940170940171,101.30593600709663,304,447.12824999999975,140.996,-0.03423290598266249
565,448.29059829059827,99.01463640141522,303,448.25450999999975,139.6,0.036088290598513595
578,449.4017094017094,88.38570499937651,302,449.38076999999976,126.344,0.02093940170965425
802,468.54700854700855,77.88012545245407,285,468.5271899999998,116.559,0.01981854700875374
815,469.65811965811963,97.95336474797237,284,469.6534499999998,132.867,0.00466965811983755
828,470.7692307692308,103.1149048512364,283,470.7797099999998,137.604,-0.010479230769021797
841,471.8803418803419,95.67909979645356,282,471.9059699999998,133.733,-0.025628119657881143
854,472.991452991453,69.98129349328586,281,473.0322299999998,113.737,-0.04077700854679733
1052,489.9145299145299,89.7046038243278,266,489.92612999999983,126.233,-0.011600085469922305
1065,491.025641025641,138.3695439795113,265,491.05238999999983,168.744,-0.026748974358838495
1078,492.13675213675214,142.63505785023696,264,492.17864999999983,178.041,-0.04189786324769784
1092,493.3333333333333,126.71044686268466,263,493.30490999999984,160.204,0.02842333333347824
1105,494.44444444444446,78.9585490819973,262,494.43116999999984,116.719,0.013274444444618894
1158,498.974358974359,95.25899626713603,258,498.93620999999985,136.963,0.03814897435916009
1171,500.0854700854701,147.63813870029372,257,500.06246999999985,174.633,0.023000085470243903
1184,501.1965811965812,186.8387639745984,256,501.18872999999985,199.193,0.007851196581327713
1197,502.3076923076923,195.5644821720352,255,502.31498999999985,204.9,-0.0072976923075316336
1210,503.4188034188034,169.04590535334506,254,503.44124999999985,189.896,-0.022446581196447823
1223,504.52991452991455,134.44490478816715,253,504.56750999999986,169.637,-0.03759547008530717
1237,505.7264957264957,94.92797555771588,252,505.69376999999986,134.926,0.03272572649586891
1250,506.8376068376068,73.59382288279652,251,506.82002999999986,112.193,0.017576837606952722
2014,572.1367521367522,69.22417565646866,193,572.14311,107.019,-0.0063578632477856445
2027,573.2478632478633,70.99854962000667,192,573.26937,110.267,-0.021506752136701834
2040,574.3589743589744,70.8148194524251,191,574.39563,113.37,-0.036655641025618024
2054,575.5555555555555,73.90689129163825,190,575.52189,115.626,0.03366555555555806
2067,576.6666666666666,74.84636076856843,189,576.64815,113.511,0.018516666666641868
2080,577.7777777777778,76.79228264704574,188,577.77441,114.078,0.0033677777778393647
2093,578.8888888888889,84.24943114918597,187,578.90067,121.396,-0.011781111111076825
2106,580.0,94.17660179048029,186,580.02693,132.719,-0.026929999999993015
2119,581.1111111111111,93.70764399642094,185,581.15319,136.996,-0.042078888888909205
2133,582.3076923076924,89.33075295012492,184,582.27945,128.719,0.028242307692380564
2146,583.4188034188035,139.29279079961645,183,583.40571,166.4,0.013093418803464374
2159,584.5299145299145,218.24908867094894,182,584.53197,219.089,-0.002055470085451816
2172,585.6410256410256,251.6641199719621,181,585.65823,241.833,-0.017204358974368006
2185,586.7521367521367,244.98643578785837,180,586.78449,243.83,-0.032353247863284196
2199,587.948717948718,244.04085331343438,179,587.91075,246.463,0.03796794871800557
2212,589.0598290598291,257.4660726450474,178,589.03701,247.148,0.022819059829089383
2225,590.1709401709402,253.01753156846556,177,590.16327,240.733,0.007670170940173193
2238,591.2820512820513,251.2225605224379,176,591.28953,239.641,-0.007478717948742997
2251,592.3931623931624,214.76281411824553,175,592.41579,220.6,-0.022627606837659187
2264,593.5042735042734,171.89217857831045,174,593.54205,197.885,-0.037776495726575376
2278,594.7008547008547,110.68888680799611,173,594.66831,148.463,0.03254470085471439
2291,595.8119658119658,97.97620708182357,172,595.79457,134.137,0.017395811965798202
2304,596.9230769230769,99.21126374406478,171,596.92083,133.856,0.0022469230768820125
2317,598.034188034188,96.83619111578628,170,598.04709,132.556,-0.012901965812034177
2330,599.1452991452992,92.4086124963322,169,599.17335,131.426,-0.02805085470083668
2344,600.3418803418804,79.45944316135943,168,600.29961,123.644,0.0422703418803394
2357,601.4529914529915,78.80270497614977,167,601.42587,118.77,0.02712145299142321
2370,602.5641025641025,76.99454743285585,166,602.55213,114.77,0.011972564102507022
2383,603.6752136752136,79.66943632185625,165,603.67839,116.726,-0.003176324786409168
2396,604.7863247863248,73.3207648262137,164,604.80465,112.033,-0.01832521367521167
3108,665.6410256410256,102.60961806272131,110,665.6226899999997,138.222,0.018335641025942095
3121,666.7521367521367,171.53816270422942,109,666.7489499999997,188.511,0.0031867521370259055
3134,667.8632478632478,207.29148016225983,108,667.8752099999997,213.133,-0.011962136751890284
3147,668.974358974359,206.79416890130972,107,669.0014699999997,217.056,-0.027111025640692787
3160,670.0854700854701,187.6378002646261,106,670.1277299999997,211.541,-0.04225991452960898
3174,671.2820512820513,149.23548798092276,105,671.2539899999997,177.333,0.028061282051567105
3187,672.3931623931624,98.55398186305358,104,672.3802499999997,134.022,0.012912393162650915
3582,706.1538461538462,100.211906726677,74,706.1680499999998,135.585,-0.014203846153577615
3595,707.2649572649573,105.79806637648252,73,707.2943099999998,143.381,-0.029352735042493805
3609,708.4615384615385,86.44345027317331,72,708.4205699999998,129.859,0.04096846153868228
